"PWR_EXC_TP_CD","FUEL_TP_CD","CRTN_TM","FCST_TM","LEAD_TM","FCST_PROD_CD","FCST_QG01","FCST_QG02","FCST_QG03","FCST_QG04","FCST_QG05","FCST_QG06","FCST_QGEN","FCST_QGMX","FCST_QGMN","FCST_CAPA","ESS_CHRG","ESS_DISC","ESS_CAPA","REG_DATE","UPD_DATE"
"09","16","202508010300","202508022300","04400","03",31.638925,9.735185,55.629898,,32.383613,,9.735185,55.629898,9.735185,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508030000","04500","03",0.494868,0.000000,0.161975,,0.000000,,0.494868,0.494868,0.000000,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508030000","04500","03",56.126246,64.992682,76.363939,,41.132997,,64.992682,76.363939,41.132997,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508030100","04600","03",0.000000,0.000000,0.142413,,0.000000,,0.000000,0.142413,0.000000,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508030100","04600","03",44.752433,34.923139,95.408655,,39.972116,,34.923139,95.408655,34.923139,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508030200","04700","03",0.000000,0.000000,0.135945,,0.000000,,0.000000,0.135945,0.000000,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508030200","04700","03",43.250036,85.154254,100.953805,,28.341329,,85.154254,100.953805,28.341329,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508030300","04800","03",0.000000,1.469332,31.686702,,,,0.000000,31.686702,0.000000,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508030300","04800","03",36.334992,6.192771,89.850697,,,,6.192771,89.850697,6.192771,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010900","202508010900","00000","03",171.413090,152.273576,211.935004,,144.255720,,171.413090,211.935004,144.255720,517.963000,,,,2025-08-01 08:50:36.000,2025-08-01 08:50:36.000
"09","16","202508010900","202508010900","00000","03",50.077541,28.157962,86.535205,,19.405176,,28.157962,86.535205,19.405176,421.970000,,,,2025-08-01 08:50:37.000,2025-08-01 08:50:37.000
"09","13","202508010900","202508011000","00100","03",223.685491,200.365723,265.045150,,216.002976,,223.685491,265.045150,200.365723,517.963000,,,,2025-08-01 08:50:36.000,2025-08-01 08:50:36.000
"09","16","202508010900","202508011000","00100","03",39.274664,35.427647,69.694903,,22.144815,,35.427647,69.694903,22.144815,421.970000,,,,2025-08-01 08:50:37.000,2025-08-01 08:50:37.000
"09","13","202508010900","202508011100","00200","03",248.278742,281.315425,321.222373,,281.531831,,248.278742,321.222373,248.278742,517.963000,,,,2025-08-01 08:50:36.000,2025-08-01 08:50:36.000
"09","16","202508010900","202508011100","00200","03",40.085316,50.887587,65.606422,,30.813404,,50.887587,65.606422,30.813404,421.970000,,,,2025-08-01 08:50:37.000,2025-08-01 08:50:37.000
"09","13","202508010900","202508011200","00300","03",286.057554,260.564052,340.228461,,321.050032,,286.057554,340.228461,260.564052,517.963000,,,,2025-08-01 08:50:36.000,2025-08-01 08:50:36.000
"09","16","202508010900","202508011200","00300","03",41.912050,39.582901,61.854942,,35.959930,,39.582901,61.854942,35.959930,421.970000,,,,2025-08-01 08:50:37.000,2025-08-01 08:50:37.000
"09","13","202508010900","202508011300","00400","03",319.719037,292.980059,348.844133,,327.790672,,319.719037,348.844133,292.980059,517.963000,,,,2025-08-01 08:50:36.000,2025-08-01 08:50:36.000
"09","16","202508010900","202508011300","00400","03",46.152667,43.869931,70.164909,,36.923240,,43.869931,70.164909,36.923240,421.970000,,,,2025-08-01 08:50:37.000,2025-08-01 08:50:37.000
"09","13","202508010900","202508011400","00500","03",311.561732,298.972672,318.055371,,314.150431,,311.561732,318.055371,298.972672,517.963000,,,,2025-08-01 08:50:36.000,2025-08-01 08:50:36.000
"09","16","202508010900","202508011400","00500","03",42.897024,35.211484,69.936558,,39.361408,,35.211484,69.936558,35.211484,421.970000,,,,2025-08-01 08:50:37.000,2025-08-01 08:50:37.000
"09","13","202508010900","202508011500","00600","03",305.430957,288.741195,347.149258,,274.699634,,305.430957,347.149258,274.699634,517.963000,,,,2025-08-01 08:50:36.000,2025-08-01 08:50:36.000
"09","16","202508010900","202508011500","00600","03",23.913049,4.496307,55.973407,,36.855321,,4.496307,55.973407,4.496307,421.970000,,,,2025-08-01 08:50:37.000,2025-08-01 08:50:37.000
"09","13","202508010900","202508011600","00700","03",245.465702,261.536016,271.415377,,221.930566,,245.465702,271.415377,221.930566,517.963000,,,,2025-08-01 08:50:36.000,2025-08-01 08:50:36.000
"09","16","202508010900","202508011600","00700","03",9.464763,0.000000,63.773924,,40.199698,,0.000000,63.773924,0.000000,421.970000,,,,2025-08-01 08:50:37.000,2025-08-01 08:50:37.000
"09","13","202508010900","202508011700","00800","03",168.832410,202.755022,213.413619,,167.240397,,168.832410,213.413619,167.240397,517.963000,,,,2025-08-01 08:50:36.000,2025-08-01 08:50:36.000
"09","16","202508010900","202508011700","00800","03",6.637431,0.000000,58.711718,,44.970507,,0.000000,58.711718,0.000000,421.970000,,,,2025-08-01 08:50:37.000,2025-08-01 08:50:37.000
"09","13","202508010900","202508011800","00900","03",86.786570,114.192343,147.383640,,107.508776,,86.786570,147.383640,86.786570,517.963000,,,,2025-08-01 08:50:36.000,2025-08-01 08:50:36.000
"09","16","202508010900","202508011800","00900","03",0.000000,0.000000,49.457756,,36.569046,,0.000000,49.457756,0.000000,421.970000,,,,2025-08-01 08:50:37.000,2025-08-01 08:50:37.000
"09","13","202508010900","202508011900","01000","03",22.365861,52.560336,40.963459,,49.552235,,22.365861,52.560336,22.365861,517.963000,,,,2025-08-01 08:50:36.000,2025-08-01 08:50:36.000
"09","16","202508010900","202508011900","01000","03",12.219816,0.000000,47.106372,,23.983516,,0.000000,47.106372,0.000000,421.970000,,,,2025-08-01 08:50:37.000,2025-08-01 08:50:37.000
"09","13","202508010900","202508012000","01100","03",18.391732,6.057586,2.045324,,5.716680,,18.391732,18.391732,2.045324,517.963000,,,,2025-08-01 08:50:36.000,2025-08-01 08:50:36.000
"09","16","202508010900","202508012000","01100","03",33.180444,0.000000,91.700811,,17.209828,,0.000000,91.700811,0.000000,421.970000,,,,2025-08-01 08:50:37.000,2025-08-01 08:50:37.000
"09","13","202508010900","202508012100","01200","03",12.010378,0.000000,0.134535,,0.000000,,12.010378,12.010378,0.000000,517.963000,,,,2025-08-01 08:50:36.000,2025-08-01 08:50:36.000
"09","16","202508010900","202508012100","01200","03",20.925080,0.000000,68.455624,,12.290097,,0.000000,68.455624,0.000000,421.970000,,,,2025-08-01 08:50:37.000,2025-08-01 08:50:37.000
"09","13","202508010900","202508012200","01300","03",12.230492,0.000000,0.160366,,0.000000,,12.230492,12.230492,0.000000,517.963000,,,,2025-08-01 08:50:36.000,2025-08-01 08:50:36.000
"09","16","202508010900","202508012200","01300","03",60.666068,58.819961,99.537073,,10.333931,,58.819961,99.537073,10.333931,421.970000,,,,2025-08-01 08:50:37.000,2025-08-01 08:50:37.000
"09","13","202508010900","202508012300","01400","03",7.422093,0.000000,0.157537,,0.000000,,7.422093,7.422093,0.000000,517.963000,,,,2025-08-01 08:50:36.000,2025-08-01 08:50:36.000
"09","16","202508010900","202508012300","01400","03",44.844960,38.233581,87.192390,,11.023691,,38.233581,87.192390,11.023691,421.970000,,,,2025-08-01 08:50:37.000,2025-08-01 08:50:37.000
"09","13","202508010900","202508020000","01500","03",11.374184,0.000000,0.164410,,0.000000,,11.374184,11.374184,0.000000,517.963000,,,,2025-08-01 08:50:36.000,2025-08-01 08:50:36.000
"09","16","202508010900","202508020000","01500","03",55.675566,15.460423,103.073927,,12.952382,,15.460423,103.073927,12.952382,421.970000,,,,2025-08-01 08:50:37.000,2025-08-01 08:50:37.000
"09","13","202508010900","202508020100","01600","03",3.834076,0.000000,0.152004,,0.000000,,3.834076,3.834076,0.000000,517.963000,,,,2025-08-01 08:50:36.000,2025-08-01 08:50:36.000
"09","16","202508010900","202508020100","01600","03",59.015422,14.368938,100.973618,,16.771613,,14.368938,100.973618,14.368938,421.970000,,,,2025-08-01 08:50:37.000,2025-08-01 08:50:37.000
"09","13","202508010900","202508020200","01700","03",8.639667,0.000000,0.125991,,0.000000,,8.639667,8.639667,0.000000,517.963000,,,,2025-08-01 08:50:36.000,2025-08-01 08:50:36.000
"09","16","202508010900","202508020200","01700","03",32.571118,31.843764,87.340109,,15.913259,,31.843764,87.340109,15.913259,421.970000,,,,2025-08-01 08:50:37.000,2025-08-01 08:50:37.000
"09","13","202508010900","202508020300","01800","03",11.715348,0.000000,0.132851,,0.000000,,11.715348,11.715348,0.000000,517.963000,,,,2025-08-01 08:50:36.000,2025-08-01 08:50:36.000
"09","16","202508010900","202508020300","01800","03",20.539641,34.764262,72.753299,,11.857237,,34.764262,72.753299,11.857237,421.970000,,,,2025-08-01 08:50:37.000,2025-08-01 08:50:37.000
"09","13","202508010900","202508020400","01900","03",0.618737,0.996006,0.136506,,0.000000,,0.618737,0.996006,0.000000,517.963000,,,,2025-08-01 08:50:36.000,2025-08-01 08:50:36.000
