"CRTN_TM","FCST_TM","LEAD_TM","FCST_MINPW","FCST_CURT","REG_DATE","UPD_DATE"
"202508012100","202508021500","01800",550.00,8.82,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508021600","01900",750.00,10.86,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508021700","02000",750.00,-1.98,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508021800","02100",900.00,-12.10,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508021900","02200",1000.00,-17.29,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508022000","02300",950.00,4.25,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508022100","02400",950.00,25.55,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508022200","02500",850.00,12.86,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508022300","02600",800.00,28.04,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508030000","02700",700.00,1.89,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508030100","02800",650.00,-9.28,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508030200","02900",700.00,27.75,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508030300","03000",600.00,-11.79,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508030400","03100",600.00,18.42,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508030500","03200",600.00,29.85,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508030600","03300",600.00,-3.52,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508030700","03400",650.00,-5.43,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508030800","03500",650.00,26.93,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508030900","03600",550.00,-1.33,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508031000","03700",600.00,24.50,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508031100","03800",550.00,24.77,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508031200","03900",600.00,29.71,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508031300","04000",500.00,39.22,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508031400","04100",500.00,40.18,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508031500","04200",400.00,2.95,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508031600","04300",550.00,-6.84,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508031700","04400",800.00,22.19,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508031800","04500",850.00,9.32,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508031900","04600",850.00,12.71,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508032000","04700",800.00,-11.13,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508032100","04800",750.00,-0.60,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508032200","04900",600.00,5.19,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508032300","05000",600.00,23.27,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508012100","202508040000","05100",500.00,-4.61,2025-08-01 20:50:05.000,2025-08-01 20:50:05.000
"202508020300","202508030000","02100",700.00,28.37,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508030100","02200",750.00,32.98,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508030200","02300",650.00,19.70,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508030300","02400",650.00,32.30,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508030400","02500",700.00,30.79,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508030500","02600",600.00,-2.79,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508030600","02700",600.00,-11.13,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508030700","02800",700.00,18.90,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508030800","02900",650.00,-3.86,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508030900","03000",750.00,14.73,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508031000","03100",500.00,-1.06,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508031100","03200",650.00,30.34,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508031200","03300",550.00,22.36,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508031300","03400",500.00,5.58,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508031400","03500",500.00,-5.43,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508031500","03600",650.00,15.99,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508031600","03700",750.00,35.60,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508031700","03800",800.00,18.75,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508031800","03900",850.00,25.39,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508031900","04000",900.00,6.10,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508032000","04100",850.00,-14.19,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508032100","04200",800.00,4.10,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508032200","04300",750.00,0.10,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508032300","04400",700.00,19.67,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508040000","04500",700.00,31.06,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508040100","04600",500.00,-5.19,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508040200","04700",500.00,5.79,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508040300","04800",550.00,-11.14,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508040400","04900",650.00,36.47,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508040500","05000",700.00,34.84,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508040600","05100",700.00,19.12,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508040700","05200",700.00,25.95,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508040800","05300",650.00,0.71,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508040900","05400",650.00,9.55,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508041000","05500",600.00,20.84,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508041100","05600",550.00,8.07,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508041200","05700",550.00,17.89,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508041300","05800",600.00,-8.99,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508041400","05900",650.00,14.77,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508041500","06000",700.00,14.15,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508041600","06100",750.00,0.71,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508041700","06200",800.00,31.92,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508041800","06300",700.00,-9.28,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508041900","06400",700.00,26.47,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508042000","06500",700.00,8.06,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508042100","06600",700.00,30.90,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508042200","06700",600.00,-12.25,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508042300","06800",600.00,-10.51,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020300","202508050000","06900",600.00,2.93,2025-08-02 02:50:05.000,2025-08-02 02:50:05.000
"202508020900","202508030000","01500",700.00,-10.14,2025-08-02 08:50:05.000,2025-08-02 08:50:05.000
"202508020900","202508030100","01600",650.00,18.74,2025-08-02 08:50:05.000,2025-08-02 08:50:05.000
"202508020900","202508030200","01700",700.00,33.78,2025-08-02 08:50:05.000,2025-08-02 08:50:05.000
"202508020900","202508030300","01800",650.00,5.30,2025-08-02 08:50:05.000,2025-08-02 08:50:05.000
"202508020900","202508030400","01900",650.00,26.90,2025-08-02 08:50:05.000,2025-08-02 08:50:05.000
"202508020900","202508030500","02000",650.00,11.71,2025-08-02 08:50:05.000,2025-08-02 08:50:05.000
"202508020900","202508030600","02100",700.00,27.30,2025-08-02 08:50:05.000,2025-08-02 08:50:05.000
"202508020900","202508030700","02200",750.00,31.02,2025-08-02 08:50:05.000,2025-08-02 08:50:05.000
"202508020900","202508030800","02300",700.00,2.65,2025-08-02 08:50:05.000,2025-08-02 08:50:05.000
"202508020900","202508030900","02400",750.00,20.94,2025-08-02 08:50:05.000,2025-08-02 08:50:05.000
"202508020900","202508031000","02500",700.00,35.46,2025-08-02 08:50:05.000,2025-08-02 08:50:05.000
"202508020900","202508031100","02600",650.00,22.96,2025-08-02 08:50:05.000,2025-08-02 08:50:05.000
"202508020900","202508031200","02700",750.00,32.32,2025-08-02 08:50:05.000,2025-08-02 08:50:05.000
"202508020900","202508031300","02800",700.00,28.32,2025-08-02 08:50:05.000,2025-08-02 08:50:05.000
"202508020900","202508031400","02900",700.00,35.59,2025-08-02 08:50:05.000,2025-08-02 08:50:05.000
"202508020900","202508031500","03000",800.00,33.62,2025-08-02 08:50:05.000,2025-08-02 08:50:05.000
"202508020900","202508031600","03100",850.00,21.55,2025-08-02 08:50:05.000,2025-08-02 08:50:05.000
